Group,Scenario,Recovery_status,Recovery_time,Reaction_time,Response_time,Accuracy,Alarms_silenced,Alarms_ack,Mimics_opened,No_of_procedures,No_of_alarms,Consequence,Overall_performance
G2,S1,Optimal,279,297,307,0.0054309151788118,2,1,2,0,2,Safe,Good
G2,S1,Optimal,389,347,351,0.00048157962560849,2,2,2,0,2,Safe,Good
G2,S1,Optimal,600,257,756,0.664978258701251,2,2,2,0,2,Safe,Poor
G2,S1,Optimal,401,327,329,0.00301143877671617,2,2,2,0,2,Safe,Good
G2,S1,Optimal,432,341,346,0.00166162057299583,2,1,1,0,2,Safe,Good
G2,S1,Optimal,330,282,306,0.0153501508963504,2,2,1,0,2,Safe,Good
G2,S1,Optimal,781,326,339,0.0136039877934475,0,1,3,0,2,Safe,Poor
G2,S1,Optimal,406,302,407,0.0032751487879227,2,2,3,0,2,Safe,Good
G2,S1,Optimal,456,341,353,0.0145781725377041,2,2,6,0,2,Safe,Good
G2,S1,Optimal,60,158,165,1.57586753949657,1,0,6,0,1,Safe,Optimal
G2,S1,Optimal,628,379,383,0.00249999999999989,2,1,5,0,2,Safe,Poor
G2,S1,Optimal,179,274,666,0.0142065063795881,2,2,4,0,2,Safe,Optimal
G2,S1,Optimal,425,343,390,0.00249999999999989,1,1,2,0,2,Safe,Good
G2,S1,Optimal,199,277,287,0.0032751487879227,2,2,2,0,2,Safe,Optimal
G2,S1,Optimal,392,266,398,0.00075364897011202,2,2,2,0,2,Safe,Good
G2,S1,Optimal,60,63,96,1.47135647334852,1,1,6,0,1,Safe,Optimal
G2,S1,Optimal,189,277,282,0.0085586382905609,0,1,2,0,2,Safe,Optimal
G2,S1,Optimal,548,407,449,0.00236420232195073,2,1,4,0,2,Safe,Poor
G2,S1,Optimal,265,280,493,0.00310024706645601,2,2,3,0,3,Safe,Optimal
G2,S1,Optimal,245,287,295,0.00487112699630593,2,2,1,0,2,Safe,Optimal
G2,S1,Optimal,277,293,666,1.33758580671345,2,2,3,0,2,Safe,Good
G2,S1,Optimal,260,292,299,0.00249999999999989,2,2,2,0,2,Safe,Optimal
G2,S2,Poor,595,425,60,19.8025,2,1,5,0,2,Plant Shutdown,Poor
G2,S2,Good,548,256,450,2.02E-05,2,2,2,0,2,Impurity of air in tank atmosphere,Poor
G2,S2,Optimal,274,259,288,3.91E-05,2,1,2,0,2,Safe,Good
G2,S2,Good,512,293,425,0.0189810292527064,2,2,2,0,2,Impurity of air in tank atmosphere,Poor
G2,S2,Good,560,252,325,0.00181958316271385,0,3,2,0,3,Impurity of air in tank atmosphere,Poor
G2,S2,Good,462,339,374,0.00181958316271385,2,2,3,0,2,Impurity of air in tank atmosphere,Good
G2,S2,Good,825,438,621,0.0001,3,1,2,0,3,Plant Shutdown,Poor
G2,S2,Optimal,60,29,38,0.0001,1,0,6,0,1,Safe,Optimal
G2,S2,Good,488,262,416,0.0001,2,1,4,0,2,Impurity of air in tank atmosphere,Poor
G2,S2,Optimal,311,278,327,3.91E-05,2,2,5,0,2,Safe,Good
G2,S2,Poor,595,417,60,3.91E-05,2,1,1,0,2,Plant Shutdown,Poor
G2,S2,Optimal,301,277,327,4.73E-06,2,2,1,0,3,Safe,Good
G2,S2,Good,865,229,443,0.0198136224007561,3,2,2,0,3,Plant Shutdown,Poor
G2,S2,Optimal,159,192,225,0.000297887771475606,2,2,4,0,2,Safe,Optimal
G2,S2,Good,456,326,405,4.73E-06,0,1,2,0,2,Impurity of air in tank atmosphere,Good
G2,S2,Poor,595,665,763,0.00264334969475702,2,0,3,0,2,Plant Shutdown,Poor
G2,S2,Optimal,297,266,314,3.62E-06,1,1,3,0,2,Safe,Good
G2,S2,Optimal,248,259,283,4.73E-06,2,2,2,0,2,Safe,Optimal
G2,S2,Good,545,300,435,3.62E-06,2,2,2,0,2,Impurity of air in tank atmosphere,Poor
G2,S2,Good,464,280,367,4.73E-06,3,3,6,0,3,Impurity of air in tank atmosphere,Good
G2,S2,Good,658,414,495,0.00700496219281662,2,2,3,0,2,Impurity of air in tank atmosphere,Poor
G2,S3,Poor,760,94,760,203.015089751548,17,6,6,0,20,Reactor Overheated,Poor
G2,S3,Poor,472,80,472,20.4619538350158,21,21,4,0,21,Reactor Overheated,Poor
G2,S3,Optimal,917,79,917,5.50567182140623,22,22,3,0,24,Safe,Optimal
G2,S3,Optimal,1020,414,1020,1.10012984468493,12,12,2,0,12,Safe,Optimal
G2,S3,Optimal,1020,57,1020,3.10069815676477,14,3,3,0,14,Safe,Optimal
G2,S3,Poor,1011,82,1011,59.9756536458804,19,7,3,0,21,Reactor Overheated,Poor
G2,S3,Poor,641,69,641,60.0790228241611,19,9,3,0,22,Reactor Overheated,Poor
G2,S3,Optimal,808,514,808,65.5848543738278,15,15,3,0,20,Outliers,Poor
G2,S3,Optimal,1058,517,1058,0.671420471245982,21,8,5,0,21,Safe,Optimal
G2,S3,Poor,906,329,906,52.5735990958265,0,3,6,0,23,Reactor Overheated,Poor
G2,S3,Optimal,1021,323,1021,2.08815988996995,14,5,6,0,14,Safe,Optimal
G2,S3,Optimal,1020,413,1020,0.764418457511247,12,13,5,0,13,Safe,Optimal
G2,S3,Optimal,1047,451,1047,2.4860841202147,17,4,3,0,17,Safe,Optimal
G2,S3,Poor,701,289,701,40.3363277298731,8,4,3,0,19,Reactor Overheated,Poor
G2,S3,Optimal,1020,371,1020,0.518708449734375,12,10,2,0,13,Safe,Optimal
G2,S3,Optimal,1020,244,1020,17.9873958888755,10,2,3,0,10,Safe,Optimal
G2,S3,Optimal,905,341,905,123.415503495073,0,1,3,0,17,Safe,Optimal
G2,S3,Optimal,1020,359,1020,1.35842546200672,10,6,3,0,13,Safe,Optimal
G2,S3,Poor,789,293,789,28.8256897968819,2,1,4,0,20,Reactor Overheated,Poor
G2,S3,Optimal,597,178,597,849.514915423115,9,4,3,0,25,Plant Shutdown,Poor
G2,S3,Poor,622,265,622,39.6174170013126,9,4,3,0,19,Reactor Overheated,Poor
G2,S3,Poor,434,196,434,60.6547978357873,11,6,6,0,16,Reactor Overheated,Poor
G2,S3,Optimal,1020,138,1020,0.86309208151462,12,9,3,0,14,Safe,Optimal
G3,S1,Optimal,270,296,306,0.00206729798764912,2,1,2,21,2,Safe,Good
G3,S1,Optimal,330,292,298,0.0113692117869064,2,1,1,2,2,Safe,Good
G3,S1,Optimal,407,313,345,0.00119090327377869,2,1,1,3,2,Safe,Good
G3,S1,Optimal,241,270,281,0.735825614005933,3,3,2,4,3,Safe,Optimal
G3,S1,Optimal,302,307,309,0.000373774694297708,2,2,2,3,3,Safe,Good
G3,S1,Optimal,494,336,342,0.0134642453739442,2,1,5,4,2,Safe,Poor
G3,S1,Optimal,144,252,265,0.752056139482937,2,0,3,2,2,Safe,Optimal
G3,S1,Optimal,512,269,726,1.96989196767399,2,2,0,3,3,Safe,Poor
G3,S1,Optimal,60,82,85,0.136899999999999,1,1,6,2,1,Safe,Optimal
G3,S1,Optimal,214,281,291,0.0260925358675912,2,1,2,3,2,Safe,Optimal
G3,S1,Optimal,318,308,321,0.023862538918892,2,2,6,3,3,Safe,Good
G3,S1,Optimal,192,273,581,0.0197013354623308,2,2,4,5,2,Safe,Optimal
G3,S1,Optimal,321,282,285,1.27309079692263,2,2,6,3,2,Safe,Good
G3,S1,Optimal,224,278,293,0.00310024706645601,2,0,1,2,2,Safe,Optimal
G3,S1,Optimal,173,274,277,0.0217321387838051,1,2,4,3,3,Safe,Optimal
G3,S1,Optimal,668,304,767,0.0221912558026549,3,3,5,6,3,Safe,Poor
G3,S1,Optimal,267,278,291,0.0163320481335227,0,1,3,3,2,Safe,Optimal
G3,S1,Optimal,221,283,295,0.00614645204866713,0,2,1,3,2,Safe,Optimal
G3,S1,Optimal,252,289,299,6.13E-05,0,2,2,3,2,Safe,Optimal
G3,S1,Optimal,203,276,283,0.023862538918892,2,2,3,3,2,Safe,Optimal
G3,S1,Optimal,278,281,285,0.00413265306122435,1,2,2,4,2,Safe,Good
G3,S1,Optimal,234,262,308,0.00310024706645601,2,1,1,3,2,Safe,Optimal
G3,S1,Optimal,179,269,271,0.0159385192602226,1,2,1,3,2,Safe,Optimal
G3,S2,Good,558,371,446,8.04E-05,2,1,2,16,2,Impurity of air in tank atmosphere,Poor
G3,S2,Good,409,249,379,0.000136535113612201,2,1,6,2,2,Impurity of air in tank atmosphere,Good
G3,S2,Good,497,60,423,0.0277476065596037,3,1,2,4,3,Impurity of air in tank atmosphere,Poor
G3,S2,Good,544,275,415,0.0277476065596037,2,1,5,2,2,Impurity of air in tank atmosphere,Poor
G3,S2,Good,450,384,397,1.25E-05,2,1,6,3,2,Impurity of air in tank atmosphere,Good
G3,S2,Good,464,279,416,6.65E-07,2,1,3,2,2,Impurity of air in tank atmosphere,Good
G3,S2,Good,796,351,555,0.000207422613421549,2,0,1,2,2,Plant Shutdown,Poor
G3,S2,Optimal,464,262,264,0.000207422613421549,2,1,0,2,2,Safe,Good
G3,S2,Optimal,364,93,361,0.000106628071833648,2,1,3,2,2,Safe,Good
G3,S2,Good,380,260,362,0.000709180056710771,2,1,2,2,2,Impurity of air in tank atmosphere,Good
G3,S2,Poor,596,327,60,0.000207422613421549,1,2,6,3,2,Plant Shutdown,Poor
G3,S2,Good,712,120,172,0.0125951825378072,3,2,6,3,3,Impurity of air in tank atmosphere,Poor
G3,S2,Good,773,273,470,0.000157299747234547,2,2,6,2,2,Impurity of air in tank atmosphere,Poor
G3,S2,Good,505,360,428,0.0001,2,0,2,2,2,Impurity of air in tank atmosphere,Poor
G3,S2,Optimal,324,287,341,3.57E-05,2,2,3,3,2,Safe,Good
G3,S2,Good,516,255,449,3.36E-06,3,3,6,5,3,Impurity of air in tank atmosphere,Poor
G3,S2,Good,443,267,331,0.000207422613421549,0,3,2,4,3,Impurity of air in tank atmosphere,Good
G3,S2,Optimal,386,266,336,0.000207422613421549,0,2,2,4,2,Safe,Good
G3,S2,Optimal,364,283,358,5.02E-06,0,2,3,3,2,Safe,Good
G3,S2,Optimal,344,313,350,0.0423151730860111,2,2,0,4,2,Safe,Good
G3,S2,Optimal,273,266,310,0.00920139709357278,1,2,2,4,2,Safe,Good
G3,S2,Good,498,278,417,3.62E-06,2,1,2,2,2,Impurity of air in tank atmosphere,Poor
G3,S2,Optimal,676,260,274,3.62E-06,2,2,1,2,2,Safe,Poor
G3,S3,Optimal,1020,142,1020,3.40964265605801,12,2,3,5,16,Safe,Optimal
G3,S3,Poor,697,93,697,492.239725984652,13,0,6,4,26,Reactor Overheated,Poor
G3,S3,Poor,558,72,558,37.0937948064768,20,2,3,9,21,Reactor Overheated,Poor
G3,S3,Poor,677,82,677,64.5314759862811,13,2,4,8,17,Reactor Overheated,Poor
G3,S3,Poor,591,68,591,42.2814847181682,7,9,3,9,21,Reactor Overheated,Poor
G3,S3,Poor,676,87,676,39.8054820566943,16,3,6,12,20,Reactor Overheated,Poor
G3,S3,Poor,585,89,585,96.1749023865982,15,0,3,4,20,Reactor Overheated,Poor
G3,S3,Optimal,1020,302,1020,0.0437074201470654,2,2,3,8,14,Safe,Optimal
G3,S3,Optimal,1020,2,1020,9.77358036606185,10,2,6,10,12,Safe,Optimal
G3,S3,Optimal,1020,302,1020,0.866884458171556,13,1,3,6,13,Safe,Optimal
G3,S3,Optimal,652,60,652,1329.91479076187,18,18,5,5,24,Plant Shutdown,Poor
G3,S3,Poor,1020,142,1020,3.40964265605801,12,2,3,5,16,Safe,Optimal
G3,S3,Poor,672,267,672,,19,4,4,8,25,Reactor Overheated,Poor
G3,S3,Optimal,588,288,588,65.7311931874865,17,0,3,6,20,Outliers,Poor
G3,S3,Optimal,1050,102,1050,20.4698175788811,7,10,4,12,16,Safe,Optimal
G3,S3,Optimal,1072,280,1072,2.64472639075167,13,3,5,13,16,Safe,Optimal
G3,S3,Optimal,929,265,929,2.76390035471596,0,4,6,7,15,Safe,Optimal
G3,S3,Poor,368,248,368,13.074491617231,0,5,3,8,15,Reactor Overheated,Poor
G3,S3,Poor,757,268,757,239.377655003236,0,1,3,5,19,Reactor Overheated,Poor
G3,S3,Poor,773,294,773,74.6833146121587,14,3,2,8,20,Reactor Overheated,Poor
G3,S3,Poor,589,265,589,37.5811263748623,0,8,3,11,19,Reactor Overheated,Poor
G3,S3,Optimal,1020,484,1020,3.04981684939915,13,3,3,6,13,Safe,Optimal
G3,S3,Poor,767,172,767,,19,6,2,8,21,Reactor Overheated,Poor
G4,S1,Optimal,56,68,284,0.0292208180514066,1,3,2,4,3,Safe,Optimal
G4,S1,Optimal,884,269,275,0.738833849798076,1,1,2,4,2,Safe,Poor
